frame_idx,theta,threshold_name,mode,fired_pixels,event_rate,event_rate_eff,e_per_event_nJ,power_static_mW,power_dyn_valid_mW,power_dyn_fp_mW,power_dyn_fn_mW,power_total_mW
102,0.1,low_threshold,noisy,103319,3099570,3099570,0.1678,345.458,0.494,0.052,0.026,346.004
103,0.1,low_threshold,clean,27421,822630,822630,0.1678,345.458,0.131,0.014,0.007,345.603
103,0.1,low_threshold,noisy,102337,3070110,3070110,0.1678,345.458,0.49,0.052,0.026,345.999
104,0.1,low_threshold,clean,29320,879600,879600,0.1678,345.458,0.14,0.015,0.007,345.613
104,0.1,low_threshold,noisy,104180,3125400,3125400,0.1678,345.458,0.498,0.052,0.026,346.008
105,0.1,low_threshold,clean,31227,936810,936810,0.1678,345.458,0.149,0.016,0.008,345.623
105,0.1,low_threshold,noisy,106136,3184080,3184080,0.1678,345.458,0.508,0.053,0.027,346.019
106,0.1,low_threshold,clean,28657,859710,859710,0.1678,345.458,0.137,0.014,0.007,345.609
106,0.1,low_threshold,noisy,103510,3105300,3105300,0.1678,345.458,0.495,0.052,0.026,346.005
107,0.1,low_threshold,clean,33718,1011540,1011540,0.1678,345.458,0.161,0.017,0.008,345.636
107,0.1,low_threshold,noisy,108356,3250680,3250680,0.1678,345.458,0.518,0.055,0.027,346.031
108,0.1,low_threshold,clean,29074,872220,872220,0.1678,345.458,0.139,0.015,0.007,345.611
108,0.1,low_threshold,noisy,103555,3106650,3106650,0.1678,345.458,0.495,0.052,0.026,346.005
109,0.1,low_threshold,clean,27893,836790,836790,0.1678,345.458,0.133,0.014,0.007,345.605
109,0.1,low_threshold,noisy,102778,3083340,3083340,0.1678,345.458,0.492,0.052,0.026,346.001
110,0.1,low_threshold,clean,28485,854550,854550,0.1678,345.458,0.136,0.014,0.007,345.608
110,0.1,low_threshold,noisy,102909,3087270,3087270,0.1678,345.458,0.492,0.052,0.026,346.002
111,0.1,low_threshold,clean,34833,1044990,1044990,0.1678,345.458,0.167,0.018,0.009,345.642
111,0.1,low_threshold,noisy,109698,3290940,3290940,0.1678,345.458,0.525,0.055,0.028,346.038
112,0.1,low_threshold,clean,30928,927840,927840,0.1678,345.458,0.148,0.016,0.008,345.621
112,0.1,low_threshold,noisy,105535,3166050,3166050,0.1678,345.458,0.505,0.053,0.027,346.016
113,0.1,low_threshold,clean,31083,932490,932490,0.1678,345.458,0.149,0.016,0.008,345.622
113,0.1,low_threshold,noisy,105817,3174510,3174510,0.1678,345.458,0.506,0.053,0.027,346.017
114,0.1,low_threshold,clean,37000,1110000,1110000,0.1678,345.458,0.177,0.019,0.009,345.653
114,0.1,low_threshold,noisy,111393,3341790,3341790,0.1678,345.458,0.533,0.056,0.028,346.047
115,0.1,low_threshold,clean,33880,1016400,1016400,0.1678,345.458,0.162,0.017,0.009,345.637
115,0.1,low_threshold,noisy,108628,3258840,3258840,0.1678,345.458,0.52,0.055,0.027,346.032
116,0.1,low_threshold,clean,30126,903780,903780,0.1678,345.458,0.144,0.015,0.008,345.617
116,0.1,low_threshold,noisy,105263,3157890,3157890,0.1678,345.458,0.503,0.053,0.026,346.014
117,0.1,low_threshold,clean,30039,901170,901170,0.1678,345.458,0.144,0.015,0.008,345.616
117,0.1,low_threshold,noisy,104301,3129030,3129030,0.1678,345.458,0.499,0.053,0.026,346.009
118,0.1,low_threshold,clean,37707,1131210,1131210,0.1678,345.458,0.18,0.019,0.009,345.657
118,0.1,low_threshold,noisy,111920,3357600,3357600,0.1678,345.458,0.535,0.056,0.028,346.049
119,0.1,low_threshold,clean,29348,880440,880440,0.1678,345.458,0.14,0.015,0.007,345.613
119,0.1,low_threshold,noisy,104474,3134220,3134220,0.1678,345.458,0.5,0.053,0.026,346.01
120,0.1,low_threshold,clean,33821,1014630,1014630,0.1678,345.458,0.162,0.017,0.009,345.636
120,0.1,low_threshold,noisy,108042,3241260,3241260,0.1678,345.458,0.517,0.054,0.027,346.029
121,0.1,low_threshold,clean,35243,1057290,1057290,0.1678,345.458,0.169,0.018,0.009,345.644
121,0.1,low_threshold,noisy,109840,3295200,3295200,0.1678,345.458,0.525,0.055,0.028,346.038
122,0.1,low_threshold,clean,29793,893790,893790,0.1678,345.458,0.143,0.015,0.008,345.615
122,0.1,low_threshold,noisy,104163,3124890,3124890,0.1678,345.458,0.498,0.052,0.026,346.008
